Exercise Type	Muscle Group	Muscle	Exercise
Accessories	Legs	Abductors	Abductors Machine
Core Strength	Core	Abs	Hanging Leg Raises
Core Strength	Core	Abs	Rope Crunches
Core Strength	Core	Abs	Crunch Machine
Core Strength	Core	Abs	Planks
Core Strength	Core	Abs	Crunches on decline bench
Core Strength	Core	Abs	Crunches w/ Ball
Accessories	Legs	Adductor	Adductor Machine
Accessories	Arms	Biceps	Hammer Curls
Accessories	Arms	Biceps	Curl Bar Curls
Accessories	Arms	Biceps	Seated Curls
Accessories	Arms	Biceps	Double Biceps Cable Tower Curls
Accessories	Arms	Biceps	Rope Curls
Accessories	Legs	Calves	Weighted Tip-Toe
Accessories	Legs	Calves	Calve Machine
Cardio	Legs	Cardio	Stairmaster
Cardio	Legs	Cardio	Cycling
Cardio	Legs	Cardio	Running
Cardio	Legs	Cardio	Rowing
Cardio	Legs	Cardio	Incline Walk
Accessories	Back	Erector Spinae	Back Extensions
Accessories	Shoulder	Front Delts	Front Raises Weight Plate
Main Heavy Composites	Shoulder	Front Delts	Overhead Shoulder Press Barbell
Main Heavy Composites	Shoulder	Front Delts	Overhead Push Press Barbell
Main Heavy Composites	Shoulder	Front Delts	Overhead Press Smith Machine
Main Heavy Composites	Shoulder	Front Delts	Shoulder Press Machine
Accessories	Shoulder	Front Delts	Arnold Press Dumbbell
Accessories	Legs	Glutes	Leg Curls
Main Heavy Composites	Legs	Glutes	Deep Squats
Main Heavy Composites	Legs	Glutes	Hack Squats
Main Heavy Composites	Legs	Glutes	Romanian Deadlift
Main Heavy Composites	Legs	Glutes	Hip thrusts
Main Heavy Composites	Legs	Glutes	Deep Squats Smith Machine
Accessories	Back	Latissimus	Lat Cable Pull
Accessories	Back	Latissimus	Pull-Ups
Accessories	Back	Latissimus	Cable Tower Row Wide Grip
Accessories	Back	Latissimus	Lat Pulldown Machine
Accessories	Legs	Hamstrings	Hamstrings Machine
Accessories	Legs	Hamstrings	Cable Kickbacks
Accessories	Chest	Pecs	Cable Tower Standing
Accessories	Chest	Pecs	Cable Tower Inclined Bench
Accessories	Chest	Pecs	Butterfly Inclined
Accessories	Chest	Pecs	Butterfly Dumbbell Incline
Accessories	Chest	Pecs	Push-Ups w/ Raised Feet
Main Heavy Composites	Chest	Pecs	Bench Press Barbell
Main Heavy Composites	Chest	Pecs	Bench Press Barbell Incline
Main Heavy Composites	Chest	Pecs	Bench Press Dumbbell
Main Heavy Composites	Chest	Pecs	Bench Press Dumbell Incline
Main Heavy Composites	Chest	Pecs	Bench Press Smith Machine
Main Heavy Composites	Chest	Pecs	Bench Press Smith Machine Incline
Accessories	Chest	Pecs	One-Arm Bench Press Dumbbell
Main Heavy Composites	Chest	Pecs	Bench Press Machine
Accessories	Chest	Pecs	Push-Ups
Accessories	Chest	Pecs	Butterfly
Accessories	Chest	Pecs	Butterfly Dumbbell
Accessories	Chest	Pecs	Free Dips
Accessories	Legs	Quads	Leg Extensions
Accessories	Legs	Quads	Pistol Squats
Accessories	Legs	Quads	Bullet Squats
Accessories	Legs	Quads	Leg press one legged
Accessories	Legs	Quads	Lunges
Accessories	Legs	Quads	One Legged Squats Smith Machine
Accessories	Legs	Quads	Front squats
Accessories	Shoulder	Rear Delts	Butterfly Reverse
Accessories	Shoulder	Rear Delts	Butterfly Reverse w/ Cable
Accessories	Shoulder	Rear Delts	Rope Face Pulls Seated
Accessories	Shoulder	Rear Delts	Rope Face Pulls Standing
Accessories	Shoulder	Side Delts	Side Raises Dumbbell
Accessories	Shoulder	Side Delts	Side Raises Cable
Accessories	Shoulder	Side Delts	Side Raises Machine
Main Heavy Composites	Shoulder	Side Delts	Behind-the-neck Shoulder Press Barbell
Main Heavy Composites	Shoulder	Side Delts	Behind-the-neck Shoulder Press Smith Machine
Accessories	Shoulder	Side Delts	Dumbell Shoulder Press One-handed
Main Heavy Composites	Back	Traps	Conventional Deadlifts
Main Heavy Composites	Back	Traps	Sumo Deadlifts
Main Heavy Composites	Back	Traps	Barbell Row Standing
Main Heavy Composites	Back	Traps	Barbell Row Lying
Main Heavy Composites	Back	Traps	Curl Bar Row
Main Heavy Composites	Back	Traps	Dumbbell Row One Handed
Accessories	Back	Traps	Pendlay Rows
Main Heavy Composites	Back	Traps	Dumbbell Row Lying
Main Heavy Composites	Back	Traps	Straight Legged Deadlifts
Main Heavy Composites	Back	Traps	Low Row Machine
Main Heavy Composites	Back	Traps	Row Machine
Accessories	Back	Traps	Dumbbell Shrugs
Accessories	Back	Traps	Shrug Machine
Accessories	Back	Traps	Smith Machine Shrugs
Accessories	Back	Traps	T-Barbell Row
Accessories	Back	Traps	Cable Tower Row Tight Grip
Accessories	Back	Traps	Cable Tower Row One Handed
Accessories	Back	Traps	Dumbbell Row
Accessories	Arms	Triceps	Cable Pull Supline
Accessories	Arms	Triceps	Kickbacks Dumbbell
Accessories	Arms	Triceps	Kickbacks Cable
Accessories	Arms	Triceps	Dip Machine
Accessories	Arms	Triceps	Scullcrusher Decline Bench
Accessories	Arms	Triceps	Tight Grip Bench Press
Accessories	Arms	Triceps	Weighted Dips
